gbpusd	hangseng	jpm	ms	nasdaq	nikkei	nya	sp500	usdeur	usdjpy	vix
1.6765		46.25	53.12						133.1	
1.6735		49.12	56.31						132.8	
1.676		49.94	60.56						134.9	
1.6867		47.88	55.81						132.2	
1.684		47.44	54.56						132.86	
1.6843		46.81	53.88						133.42	
1.6832		46.12	53.5						135.25	
1.6824		50.13	57.25						136.33	
1.6924		46.38	51.56						135.72	
1.7025		45.5	52.62						135.37	
1.7044		44.56	49.25						136.36	
1.7067		45.0	45.12						134.02	
1.6997		43.12	43.12						136.18	
1.7018		40.72	40.0						135.58	
1.7085		43.75	43.88						134.74	
1.6906		41.5	40.81						134.43	
1.6857		41.06	41.69						132.0	
1.6965		40.25	38.44						123.55	
1.7192		40.5	41.62						119.0	
1.7128		42.81	45.75						117.25	
1.6935		43.06	46.19						118.24	
1.7024		42.69	46.81						119.58	
1.7051		41.69	48.56						118.87	
1.7046		47.0	55.25						117.35	
1.7018		49.09	54.25						115.9	
1.699		51.25	56.69						114.63	
1.7049		53.06	56.12						117.75	
1.6984		54.0	55.44						117.4	
1.6972		56.06	58.56						117.75	
1.6927		55.69	58.5						118.18	
1.6865		54.5	59.56						118.62	
1.6683		52.0	58.06						118.45	
1.6713		52.38	59.5						117.98	
1.6784		54.12	62.81						116.72	
1.6752		56.81	65.0						116.63	
1.6678		56.5	64.0						114.87	
1.6567		56.25	61.81						115.31	
1.6557		58.0	62.44						116.7	
1.6623		60.38	65.0						117.04	
1.6628		61.0	65.0						118.31	
1.6594		58.31	65.75						121.34	
1.6623		57.19	63.0						122.47	
1.6612		56.62	59.5						121.71	
1.6532		55.12	59.75						123.85	
1.6657		57.19	61.25						122.26	
1.6755		57.87	64.06						119.83	
1.6758		61.25	66.62						120.95	
1.6733		61.81	65.31						121.33	
1.6681		61.5	66.56						118.73	
1.6566		61.94	70.56						120.23	
1.6533		65.0	73.62						120.99	
1.6616		64.81	72.38						120.62	
1.6618		65.62	71.5						121.93	
1.6612									122.51	
1.6561		65.44	74.75						123.03	
1.6513		63.44	69.62						122.92	
1.6529		62.13	68.25						121.93	
1.6613		63.0	68.0						120.53	
1.6632		61.25	65.56						118.8	
1.6642		64.12	68.75						118.51	
1.6522		65.0	69.12						119.61	
1.6528		64.62	66.19						119.57	
1.658		63.81	67.0						117.72	
1.6643		62.75	66.81						117.28	
1.6822		60.87	66.69						117.1	
1.6869		58.81	62.31						115.39	
1.6835		60.75	66.5						116.35	
1.676		63.5	66.25						115.81	
1.6738		69.87	69.06						116.02	
1.6816		69.5	71.62						115.69	
1.6809		72.25	76.56						116.06	
1.678		71.75	75.06						116.96	
1.6784		71.25	77.06						115.94	
1.6735		70.75	78.31						116.06	
		71.37	77.0							
1.6826		72.0	75.62						115.18	
1.6707		72.0	73.19						114.72	
1.664		71.0	71.0						112.77	
1.66		71.88	72.75						112.68	
1.6556		72.44	75.0						111.61	
1.6559		74.0	80.69						112.61	
1.6496		77.06	84.19						111.25	
1.6402		75.5	88.25						111.35	
1.6399		76.25	87.5						109.28	
1.6308		73.88	82.44						111.84	
1.6521		71.62	82.31						113.64	
1.6578		68.25	80.81						113.32	
1.6529		70.88	85.56						113.83	
1.6515									114.35	
1.6584		74.37	84.88						113.65	
1.6477		77.13	87.5						113.5	
1.6518		75.38	85.56						113.22	
1.654		71.88	81.31						114.15	
1.6573		74.44	83.0						113.92	
1.6595		74.25	84.31						114.12	
1.6521		73.12	81.75						115.34	
1.6477		73.62	84.19						116.28	
1.6434		76.94	86.62						116.3	
1.6404		76.81	87.69						115.12	
1.6461		76.81	89.38						112.55	
1.6383		79.38	91.75						112.27	
1.638		77.94	89.75						112.15	
1.6383		76.44	89.0						112.96	
1.6327		73.12	88.56						113.72	
1.6364		72.0	85.75						114.35	
1.6289		73.06	84.69						114.5	
1.6252		76.12	92.12						114.3	
1.6292		74.06	88.5						114.3	
1.6276									115.55	
1.6335		77.69	90.44						118.17	
1.6359		77.25	88.38						118.9	
1.6335		76.25	92.31						119.82	
1.6295		76.06	93.0						120.51	
1.6226		81.0	97.0						120.36	
1.6111		81.87	95.88						121.19	
1.5987		78.81	89.75						121.88	
1.6041		79.5	89.69						120.01	
1.6013		79.62	90.5						118.68	
1.6075		80.75	89.62						119.42	
1.6158		80.31	90.38						120.3	
1.6176		80.69	92.81						121.28	
1.6077		83.37	96.5						123.28	
1.6098		86.88	98.94						122.22	
1.6082		85.81	97.88						121.94	
1.615		87.94	98.56						121.3	
1.6271		88.94	99.06						119.89	
1.6265		88.19	101.75						120.1	
1.6337		88.0	101.12						119.17	
1.6215		87.25	102.0						118.06	
1.6242		84.81	101.94						117.9	
1.6297		82.38	99.44						118.42	
1.6303		83.88	103.38						117.74	
1.6292		82.5	101.62						117.13	
1.6279		81.87	96.38						117.93	
1.6313		79.56	97.88						117.98	
1.6434		79.38	98.38						117.6	
1.6316		81.5	103.88						118.12	
1.621		80.5	102.62						120.09	
1.6189		82.25	105.38						119.73	
1.6137		81.94	101.75						120.46	
1.6137		81.38	99.94						118.45	
1.6049		79.38	99.94						119.53	
		78.75	102.88							
1.5898		79.25	104.81						121.01	
1.5957		84.38	108.56						121.12	
1.6108		87.87	107.5						120.88	
1.6059		85.56	111.5						121.13	
1.615		86.88	112.0						120.14	
1.6168		87.38	114.19						120.2	
1.6176		86.37	109.75						118.73	
1.6121		85.56	104.75						119.24	
1.6145		86.06	105.0						118.1	
1.6116		85.0	96.0						118.03	
1.616		83.0	99.5						118.27	
1.6064		83.44	102.12						119.75	
1.6111		85.75	104.38						119.6	
1.6168		85.12	105.0						119.42	
1.6129		82.62	100.38						118.96	
1.6163		85.56	105.06						120.18	
1.6152		83.62	102.38						119.16	
1.6108		83.88	102.88						119.12	
1.6103		82.5	99.19						119.38	
		82.75	104.88							
1.6205		82.25	98.06						120.93	
1.6268		80.19	99.19						121.05	
1.638		77.56	94.88						120.8	
1.6337		78.38	100.69						120.7	
1.6308		79.0	97.88						120.66	
1.6215		80.0	100.81						120.97	
1.6189		82.31	106.81						120.88	
1.6192		84.0	108.0						121.7	
1.6207		79.06	100.12						122.06	
1.6202		78.63	100.06						123.08	
1.6202		78.75	98.94						123.2	
